Date,AAPL,MSFT,XOM,BP
2017-12-14,40.371620178222656,78.03732299804688,57.99654769897461,26.40656852722168
2017-12-15,40.7818489074707,80.02765655517578,58.08747863769531,26.179088592529297
2017-12-18,41.356170654296875,79.59455108642578,58.02452087402344,26.543054580688477
2017-12-19,40.91546630859375,79.08776092529297,57.67472457885742,26.413063049316406
2017-12-20,40.870941162109375,78.80208587646484,57.975547790527344,26.614545822143555
2017-12-21,41.02565002441406,78.78368377685547,58.66115188598633,27.0889949798584
2017-12-22,41.02565002441406,78.79288482666016,58.745113372802734,26.835521697998047
2017-12-26,39.984840393066406,78.69153594970703,58.75209426879883,27.095495223999023
2017-12-27,39.99186706542969,78.97716522216797,58.696128845214844,27.114988327026367
2017-12-28,40.10437774658203,78.98640441894531,58.78008270263672,27.21247673034668
2017-12-29,39.67070007324219,78.8205337524414,58.51423645019531,27.316469192504883
2018-01-02,40.38099670410156,79.19831085205078,59.48668670654297,27.543941497802734
2018-01-03,40.373958587646484,79.56690979003906,60.65501022338867,27.862409591674805
2018-01-04,40.56149673461914,80.26721954345703,60.738956451416016,27.9728946685791
2018-01-05,41.02330780029297,81.26236724853516,60.68996810913086,28.011882781982422
2018-01-08,40.870941162109375,81.34532165527344,60.96282196044922,27.998891830444336
2018-01-09,40.866249084472656,81.28999328613281,60.7039680480957,27.862409591674805
2018-01-10,40.85686492919922,80.92143249511719,60.22123718261719,27.881912231445312
2018-01-11,41.08893585205078,81.1610107421875,60.815895080566406,28.122377395629883
2018-01-12,41.51323318481445,82.5616226196289,61.228660583496094,28.538326263427734
2018-01-16,41.302268981933594,81.40982055664062,60.843894958496094,27.595928192138672
2018-01-17,41.984413146972656,83.0592041015625,61.56446075439453,27.8689022064209
2018-01-18,42.02193832397461,83.02233123779297,61.165714263916016,27.881912231445312
2018-01-19,41.83440017700195,82.9301986694336,60.969825744628906,27.55694007873535
2018-01-22,41.492149353027344,84.4137191772461,61.7393684387207,28.200363159179688
2018-01-23,41.50151824951172,84.68094635009766,61.77438735961914,28.102876663208008
2018-01-24,40.8404541015625,84.60722351074219,61.935279846191406,28.55782699584961
2018-01-25,40.11140823364258,85.07715606689453,61.82332992553711,28.427845001220703
2018-01-26,40.20518493652344,86.6712646484375,62.26405334472656,28.473331451416016
2018-01-29,39.37300109863281,86.54226684570312,61.571468353271484,28.174367904663086
2018-01-30,39.14093017578125,85.45494842529297,60.71095657348633,27.823410034179688
2018-01-31,39.248741149902344,87.54663848876953,61.07477569580078,27.8104190826416
2018-02-01,39.33079528808594,86.85556030273438,62.31303405761719,28.180871963500977
2018-02-02,37.624229431152344,84.57035064697266,59.13687515258789,26.751028060913086
2018-02-05,36.68421173095703,81.08731079101562,55.77181625366211,25.854122161865234
2018-02-06,38.21731185913086,84.15572357177734,54.81337356567383,26.36757469177246
2018-02-07,37.39918899536133,82.57081604003906,53.826934814453125,25.99711036682129
2018-02-08,36.37009811401367,78.3321533203125,53.21828842163086,25.70464515686035
2018-02-09,36.81494903564453,81.2531509399414,53.55753707885742,25.41868019104004
2018-02-12,38.29780578613281,82.12852478027344,54.00985336303711,25.912620544433594
2018-02-13,38.68147277832031,82.77354431152344,53.925052642822266,25.795635223388672
2018-02-14,39.39466094970703,84.06961822509766,54.03813171386719,26.237586975097656
2018-02-15,40.71746063232422,85.78231811523438,53.861427307128906,26.283767700195312
2018-02-16,40.58563995361328,85.17130279541016,54.094661712646484,26.138629913330078
2018-02-20,40.44913101196289,85.83786010742188,53.53633117675781,26.07265281677246
2018-02-21,40.265541076660156,84.69915008544922,52.928531646728516,25.624038696289062
2018-02-22,40.60211944580078,84.92134094238281,53.61407470703125,25.89451789855957
2018-02-23,41.308250427246094,87.07839965820312,54.79434585571289,26.455297470092773
2018-02-26,42.125,88.33746337890625,55.72020721435547,26.58064842224121
2018-02-27,41.98847961425781,87.2079849243164,54.77314376831055,26.059463500976562
2018-02-28,41.924930572509766,86.8099365234375,53.52925491333008,25.63722038269043
2018-03-01,41.1905632019043,85.95819854736328,53.14760971069336,25.690004348754883
2018-03-02,41.475372314453125,86.14338684082031,53.39498519897461,25.531667709350586
2018-03-05,41.618953704833984,86.68958282470703,53.903839111328125,25.83515167236328
2018-03-06,41.583641052246094,86.39332580566406,53.84022903442383,26.09244155883789
2018-03-07,41.19761657714844,86.89323425292969,52.4832649230957,25.934106826782227
2018-03-08,41.64718246459961,87.42093658447266,52.384334564208984,26.033063888549805
2018-03-09,42.36272430419922,89.37431335449219,52.695281982421875,26.165016174316406
2018-03-12,42.772281646728516,89.5872573852539,53.175872802734375,26.290359497070312
2018-03-13,42.36037063598633,87.40242004394531,52.67409133911133,26.09244155883789
2018-03-14,42.000247955322266,86.88397979736328,52.016822814941406,25.643823623657227
2018-03-15,42.04966735839844,87.18949890136719,52.596336364746094,25.74938201904297
2018-03-16,41.901397705078125,87.57830810546875,53.091068267822266,26.0462589263916
2018-03-19,41.261173248291016,85.9952392578125,52.40553665161133,25.56466293334961
2018-03-20,41.247039794921875,86.21744537353516,52.29243850708008,25.755977630615234
2018-03-21,40.3126220703125,85.61569213867188,53.034549713134766,26.47508430480957
2018-03-22,39.743019104003906,83.12532806396484,51.946144104003906,25.74938201904297
2018-03-23,38.82268524169922,80.70906066894531,51.51502990722656,25.808757781982422
2018-03-26,40.665679931640625,86.81918334960938,52.29951095581055,26.666412353515625
2018-03-27,39.622962951660156,82.8290786743164,52.08749008178711,26.369529724121094
2018-03-28,39.18517303466797,82.7550277709961,51.45848083496094,26.125431060791016
2018-03-29,39.491153717041016,84.49549102783203,52.73064422607422,26.745582580566406
2018-04-02,39.23223876953125,81.9495849609375,51.74824905395508,26.329946517944336
2018-04-03,39.634735107421875,83.0512466430664,53.02040100097656,26.857728958129883
2018-04-04,40.39263153076172,85.47679901123047,52.91438293457031,27.068843841552734
2018-04-05,40.6727409362793,85.5230941772461,53.72714614868164,27.656009674072266
2018-04-06,39.632381439208984,83.53267669677734,52.91438293457031,27.550453186035156
2018-04-09,40.02545928955078,84.0325927734375,52.91438293457031,27.484474182128906
2018-04-10,40.778648376464844,85.9859848022461,54.46925354003906,28.223384857177734
2018-04-11,40.58799743652344,85.04169464111328,54.72365188598633,28.408109664916992
2018-04-12,40.98814392089844,86.63402557373047,54.57524490356445,28.408109664916992
2018-04-13,41.12700271606445,86.171142578125,55.01341247558594,28.342134475708008
2018-04-16,41.383575439453125,87.18024444580078,55.5081672668457,28.183795928955078
2018-04-17,41.95317840576172,88.939208984375,55.35972213745117,28.13761329650879
2018-04-18,41.85903549194336,89.28173065185547,55.98875045776367,28.718189239501953
2018-04-19,40.6727409362793,88.97624969482422,56.13009262084961,28.810548782348633
2018-04-20,39.006290435791016,87.94862365722656,55.833282470703125,28.698389053344727
2018-04-23,38.893310546875,88.27262878417969,56.23611831665039,28.968889236450195
2018-04-24,38.35193634033203,86.20816802978516,55.373878479003906,29.186601638793945
2018-04-25,38.5190544128418,85.45832061767578,56.186649322509766,29.140411376953125
2018-04-26,38.65323257446289,87.26356506347656,57.14781951904297,29.589038848876953
2018-04-27,38.20600891113281,88.707763671875,54.978111267089844,29.173389434814453
2018-04-30,38.898006439208984,86.5784683227539,54.94981002807617,29.417509078979492
2018-05-01,39.801849365234375,87.94862365722656,54.38442611694336,29.556034088134766
2018-05-02,41.560096740722656,86.56922149658203,54.278411865234375,29.490060806274414
2018-05-03,41.63542556762695,87.0876693725586,54.094661712646484,29.509855270385742
2018-05-04,43.26892852783203,88.09675598144531,54.349090576171875,29.91229248046875
2018-05-07,43.581974029541016,89.07807159423828,54.94276809692383,30.143203735351562
2018-05-08,43.79145050048828,88.69850158691406,55.19013214111328,29.90570640563965
2018-05-09,44.099796295166016,89.74463653564453,56.490543365478516,30.862323760986328
2018-05-10,44.730594635009766,90.64262390136719,57.7556266784668,30.661819458007812
2018-05-11,44.56047058105469,90.44823455810547,58.02689743041992,30.62841033935547
2018-05-14,44.45650863647461,90.75373077392578,58.419593811035156,31.00933265686035
2018-05-15,44.052459716796875,90.096435546875,58.391029357910156,31.269983291625977
2018-05-16,44.46359634399414,90.32889556884766,58.555198669433594,31.216510772705078
2018-05-17,44.18242263793945,89.42696380615234,58.45526885986328,31.53730010986328
2018-05-18,44.021751403808594,89.59434509277344,58.04120635986328,31.664278030395508
2018-05-21,44.333641052246094,90.74728393554688,58.740821838378906,31.93828582763672
2018-05-22,44.222591400146484,90.65430450439453,58.28392028808594,31.470478057861328
2018-05-23,44.506126403808594,91.73285675048828,58.64801025390625,31.042760848999023
2018-05-24,44.45650863647461,91.40744018554688,57.305870056152344,30.5749454498291
2018-05-25,44.558109283447266,91.45392608642578,56.1921501159668,29.63930892944336
2018-05-29,44.397438049316406,91.12850189208984,55.98512649536133,29.76629066467285
2018-05-30,44.30292510986328,92.00247955322266,58.1839714050293,30.548206329345703
2018-05-31,44.15406799316406,91.90023803710938,57.99835205078125,30.621721267700195
2018-06-01,44.95033645629883,93.71331024169922,58.419593811035156,30.68855094909668
2018-06-04,45.32602310180664,94.5315170288086,57.80561447143555,30.715290069580078
2018-06-05,45.67572021484375,95.0150146484375,57.59856033325195,30.935829162597656
2018-06-06,45.83402633666992,95.2939453125,58.58375930786133,30.92913818359375
2018-06-07,45.71116638183594,93.7969741821289,59.169158935546875,31.54398536682129
2018-06-08,45.29530334472656,94.49430847167969,59.68319320678711,31.437055587768555
2018-06-11,45.18425750732422,93.95503997802734,59.32624816894531,31.49052619934082
2018-06-12,45.43235397338867,94.19679260253906,58.840782165527344,30.82221221923828
2018-06-13,45.059024810791016,93.76907348632812,58.19110870361328,30.748695373535156
2018-06-14,45.08265686035156,94.2990493774414,58.4624137878418,31.036069869995117
